ia_fund_name,ia_management_company,ia_sector,isin,resolved_name,status,confidence,triage_reason
Pictet-Security,Pictet Asset Management Ltd,Global,LU0270904351,Pictet-Security I EUR,matched,1.0,
Pictet Family,Pictet Asset Management Ltd,Global,LU0990124041,Pictet-Family I GBP,matched,1.0,
Pictet Global Environmental Opportunities,Pictet Asset Management Ltd,Global,LU1860289294,Pictet - Global Environmental Opportunities I CHF,matched,1.0,
Pictet Global Thematic Opportunities,Pictet Asset Management Ltd,Global,LU1437676809,Pictet - Global Thematic Opportunities-I GBP Acc,matched,1.0,
Pictet-Positive Change,Pictet Asset Management Ltd,Global,LU2478778272,Pictet - Positive Change - I GBP,matched,1.0,
Pictet-Quest Global Sustainable Equities,Pictet Asset Management Ltd,Global,LU2190601653,Pictet - Quest Global Sustainable Equities I GBP,matched,1.0,
Pictet-Quest AI-Driven Global Equities,Pictet Asset Management Ltd,Global,LU2749781980,Pictet - Quest AI-Driven Global Equities I dy GBP Inc,matched,1.0,
PineBridge Global Focus Equity,PineBridge Investments Ireland Ltd,Global,IE000GG9MU96,PineBridge Global Funds - Global Focus Equity Fund R2,matched,0.9743,
Antipodes Global Value Fund - UCITS,Pinnacle Investment,Global,IE0004QTSQS6,Pinnacle ICAV - Antipodes Global Fund UCITS I GBP Acc,unresolved,0.7044,
Life Cycle Global Equity Select Fund - UCITS,Pinnacle Investment,Global,IE000HWLG8I8,Pinnacle ICAV - Life Cycle Global Equity Select Fund - UCITS I Share Class EUR Accumulation,matched,0.9029,
Life Cycle Global Equity Fund - UCITS,Pinnacle Investment,Global,IE0003BXO6C3,Pinnacle ICAV - Life Cycle Global Equity Select Fund - UCITS I Share Class CAD Accumulation,review,0.834,no decisive brand/region/style signal
Hyperion Global Growth Companies Fund - UCITS,Pinnacle Investment,Global,IE000YVQYP56,Pinnacle ICAV - Hyperion Global Growth Companies Fund - UCITS I Share Class GBP Accumulation,matched,0.9065,
Langdon Global Smaller Companies Fund - UCITS,Pinnacle Investment,Global,IE0006HS29J4,Pinnacle ICAV - Langdon Global Smaller Companies Fund - UCITS (I GBP) Acc,matched,0.94,
Polar Capital Funds PLC - Artificial Intelligence Fund,Polar Capital Funds Plc,Global,IE000SRPGTQ5,Polar Capital Funds PLC - Artificial Intelligence Fund IAcc,matched,1.0,
Premier Miton Global Sustainable Growth,Premier Portfolio Managers Limited,Global,GB00BTHH0G25,Premier Miton Multi-Asset Global Growth C accumulation,review,0.785,no decisive brand/region/style signal
Principal Global Sustainable Equity Fund,Principal Global Investors (Ireland) Limited,Global,TH5405E10009,Principal Global Equity Fund X,review,0.82,no decisive brand/region/style signal
Origin Global Smaller Companies Fund,Principal Global Investors (Ireland) Limited,Global,GB0033053264,Invesco Global Smaller Companies Fund (UK) (Inc),rejected,0.8143,IA is global but candidate is region-specific {'uk'}
Quilter Investors Ethical Equity Fund,Quilter Investors Limited,Global,GB00B0JZPC21,Quilter Investors Ethical Equity Fund A (GBP) Accumulation,matched,1.0,
Quilter Investors Global Unconstrained Equity Fund,Quilter Investors Limited,Global,GB00B13HMT78,Quilter Investors Global Unconstrained Equity Fund A (GBP) Accumulation,matched,1.0,
Quilter Investors Global Dynamic Equity Fund,Quilter Investors Limited,Global,GB00B55N9343,Quilter Investors Global Dynamic Equity Fund A (GBP) Accumulation,matched,1.0,
Quilter Investors Global Equity Growth Fund,Quilter Investors Limited,Global,GB00B7N3J307,Quilter Investors Global Equity Growth Fund A (GBP) Accumulation,matched,1.0,
Ranmore Global Equity Fund plc,Ranmore Fund Management Ltd,Global,IE00B61ZVB30,Ranmore Global Equity Fund Investor GBP Acc,matched,0.9541,
Rathbone Global Opportunities Fund,Rathbone Unit Trust Management Limited,Global,GB00B7FQLN12,Rathbone Global Opportunities Fund I Acc,matched,1.0,
Rathbone Greenbank Global Sustainability fund,Rathbone Unit Trust Management Limited,Global,GB00BDZVKB97,Rathbone Greenbank Global Sustainability Fund S Acc,matched,1.0,
Redwheel Global Intrinsic Value Fund,Redwheel,Global,LU0943338144,Redwheel Funds - Redwheel Global Intrinsic Value Fund I GBP Acc,matched,0.9696,
RGI Compound Global Equity Fund,River Global,Global,GB00BW01GZ32,RGI Compound Global Equity Fund B GBP Acc,matched,0.9778,
River Global Global Recovery Fund,River Global,Global,GB00BYRJXL91,Schroder Global Recovery Fund Z Accumulation GBP,unresolved,0.6889,
Robeco BP Global Premium Equities,Robeco Capital Growth Funds SICAV,Global,LU1362999218,Robeco BP Global Premium Equities F GBP,matched,1.0,
Robeco Global Consumer Trends Equities,Robeco Capital Growth Funds SICAV,Global,LU0936248318,Robeco Global Consumer Trends Equities I $,matched,1.0,
Royal London GMAP Dynamic Equity Fund,Royal London Asset Management Limited,Global,GB00BMCTCQ82,Royal London GMAP Dynamic Equity Fund Z GBP Acc,matched,1.0,
Royal London Global Equity Select Fund,Royal London Asset Management Limited,Global,GB00BNNFF075,Royal London Global Equity Select Fund Z Acc,matched,1.0,
Royal London Global Equity Diversified Fund,Royal London Asset Management Limited,Global,GB00BQNLPL75,Royal London Global Equity Diversified Fund Z Acc,matched,1.0,
Royal London Global Sustainable Equity Fund,Royal London Asset Management Limited,Global,GB00BL6V1001,Royal London Global Sustainable Equity Fund Class Z Accumulation,matched,1.0,
Royal London Global Sustainable Equity Fund (IRL),Royal London Asset Management Limited,Global,GB00BL6V1001,Royal London Global Sustainable Equity Fund Class Z Accumulation,matched,0.9641,
Royal London Global Equity Diversified Fund (IRL),Royal London Asset Management Limited,Global,GB00BQNLPL75,Royal London Global Equity Diversified Fund Z Acc,matched,0.9641,
Royal London Global Equity Select Fund (IRL),Royal London Asset Management Limited,Global,IE000CFQ35Y7,Royal London Global Equity Select Fund (IRL) Class Z GBP Accumulation,matched,1.0,
Royal London Global Equity Transitions Fund,Royal London Asset Management Limited,Global,IE000QJA7SZ2,Royal London Global Equity Transitions Fund Class Z GBP Accumulation,matched,1.0,
Royal London Global Equity Tilt Fund,Royal London Asset Management Limited,Global,GB00B523MH29,Royal London UK Core Equity Tilt Fund Z Accumulation,matched,0.86,
Sanlam Global High Quality Fund,Sanlam Asset Management (Ireland) Limited,Global,IE00BYV7PR98,Sanlam Global High Quality Fund Class I Accumulation (GBP) Shares,matched,0.9715,
Sarasin IE Global Equity Opportunities (GBP),Sarasin Funds Management (Ireland) Ltd,Global,IE00B500YS03,Sarasin IE Global Equity Opportunities (GBP) Class X GBP Accumulation Shares,matched,0.9965,
Sarasin IE Global Equity Opportunities (GBP),Sarasin Funds Management (Ireland) Ltd,Global,IE00B500YS03,Sarasin IE Global Equity Opportunities (GBP) Class X GBP Accumulation Shares,matched,0.9965,
Sarasin Thematic Global Equity,Sarasin Investment Funds Limited,Global,GB0009341651,Sarasin Thematic Global Equity Fund (Class I Acc),matched,1.0,
Sarasin Responsible Global Equity,Sarasin Investment Funds Limited,Global,GB00B4674R77,Sarasin Responsible Global Equity Fund (Class I Acc),matched,1.0,
Sarasin Equity Managed Fund,Sarasin Investment Funds Limited,Global,GB00BTRTNY77,Sarasin Equity Managed Fund Class Z GBP Accumulation,matched,1.0,
Schroder QEP Global Core Fund,Schroder Unit Trusts Limited,Global,GB0007661191,Schroder QEP Global Core Fund I Accumulation GBP,matched,1.0,
Schroder Global Equity Fund,Schroder Unit Trusts Limited,Global,GB0007646309,Schroder Global Equity Fund I Accumulation GBP,matched,1.0,
Schroder QEP Global Active Value Fund,Schroder Unit Trusts Limited,Global,GB00B0R0P857,Schroder QEP Global Active Value Fund I Accumulation GBP,matched,1.0,
Schroder Global Sustainable Value,Schroder Unit Trusts Limited,Global,GB00BJRSVL75,Schroder Global Sustainable Value Equity Fund Z Income GBP,matched,0.988,
Schroder ISF Global Energy,Schroder Unit Trusts Limited,Global,LU3007884243,Schroder International Selection Fund Global Energy X Accumulation USD,matched,0.7654,all distinctive IA tokens present and brand agrees
Schroder ISF Global Equity Alpha,Schroder Unit Trusts Limited,Global,LU0968428481,Schroder International Selection Fund Global Equity Alpha Z Accumulation EUR,matched,0.8126,all distinctive IA tokens present and brand agrees
Schroder ISF Global Equity Yield,Schroder Unit Trusts Limited,Global,LU0966867060,Schroder International Selection Fund Global Equity Yield Z Accumulation EUR,matched,0.8126,all distinctive IA tokens present and brand agrees
Schroder ISF Global Smaller Companies,Schroder Unit Trusts Limited,Global,LU1469676479,Schroder International Selection Fund Global Smaller Companies Z Accumulation EUR,matched,0.83,all distinctive IA tokens present and brand agrees
Schroder Global Recovery,Schroder Unit Trusts Limited,Global,GB00BF785S49,Schroder Global Recovery Fund X Accumulation GBP,matched,1.0,
Schroder Islamic Global Equity Fund,Schroder Unit Trusts Limited,Global,GB00BF780Y53,Schroder Islamic Global Equity Fund Z GBP Acc,matched,1.0,
Schroder Global Energy Transition Fund,Schroder Unit Trusts Limited,Global,US92647Q6787,Victory Global Energy Transition Fund Class A,review,0.7836,no decisive brand/region/style signal
Schroder Global Sustainable Growth Fund,Schroder Unit Trusts Limited,Global,GB00BF782614,Schroder Global Sustainable Growth Fund X GBP Accumulation,matched,1.0,
Scottish Widows Global Growth Fund,Scottish Widows Unit Trust Managers,Global,GB0031609786,Scottish Widows Global Growth Fund A Acc,matched,1.0,
Scottish Widows Global Select Growth Fund,Scottish Widows Unit Trust Managers,Global,GB0031741282,Scottish Widows Global Select Growth Fund X Acc,matched,1.0,
Stryx World Growth,Seilern Investment Management Ltd,Global,IE00B4Z5CM38,Seilern World Growth GBP U I,review,0.7552,no decisive brand/region/style signal
TM Stonehage Fleming Global Equities Fund II,Stonehage Fleming Investment Management Limited,Global,GB00B60YKG92,TM Stonehage Fleming Global Equities Fund Class A Sterling Income,matched,0.9236,
TM Stonehage Fleming Global Equities Fund,Stonehage Fleming Investment Management Limited,Global,GB00B60YKG92,TM Stonehage Fleming Global Equities Fund Class A Sterling Income,matched,0.9805,
Stonehage Fleming Global Best Ideas Equity Fund,Stonehage Fleming Investment Management Limited,Global,IE00BDB5NW75,Stonehage Fleming Global Best Ideas Equity Fund I EUR Acc,matched,1.0,
SKAGEN Kon-Tiki,Storebrand Asset Management,Global,NO0010679038,SKAGEN Kon-Tiki B,matched,0.9625,
Storebrand Global ESG Plus Lux,Storebrand Asset Management,Global,LU1932673608,Storebrand SICAV - Storebrand Global Plus Lux I GBP Acc,review,0.8322,no decisive brand/region/style signal
RGI Global Recovery Fund,SVM Asset Management Ltd,Global,GB00B96FYM16,RGI Global Recovery Fund Z Acc,matched,0.97,
RGI Compound Global Equity Fund,SVM Asset Management Ltd,Global,GB00BW01GZ32,RGI Compound Global Equity Fund B GBP Acc,matched,0.9778,
SVS Aubrey Global Conviction Fund,SVS Aubrey Capital Management Investment Funds,Global,GB00B1L8XB18,SVS Aubrey Capital Management Investment Funds-SVS Aubrey Global Conviction Acc,matched,0.8064,all distinctive IA tokens present and brand agrees
T. Rowe Price Funds SICAV Global Growth Equity Fund,T. Rowe Price International Limited,Global,LU0438015033,T. Rowe Price Funds SICAV - Global Growth Equity Fund I GBP,matched,1.0,
T. Rowe Price Funds SICAV Global Focused Growth Equity Fund,T. Rowe Price International Limited,Global,LU0143563046,T. Rowe Price Funds SICAV - Global Focused Growth Equity Fund I,matched,1.0,
T. Rowe Price Funds SICAV Global Value Equity,T. Rowe Price International Limited,Global,LU0859255472,T. Rowe Price Funds SICAV - Global Value Equity Fund I,matched,1.0,
T. Rowe Price Funds SICAV Global Focused Growth Equity Fund,T. Rowe Price International Limited,Global,LU0143563046,T. Rowe Price Funds SICAV - Global Focused Growth Equity Fund I,matched,1.0,
T. Rowe Price Funds OEIC - Global Impact Equity Fund,T. Rowe Price International Limited,Global,GB00BMHRSM51,T. Rowe Price Funds OEIC - Global Impact Equity Fund C Acc,matched,1.0,
T. Rowe Price Funds OEIC - Global Select Equity Fund,T. Rowe Price International Limited,Global,GB00BLFG6V23,T. Rowe Price Funds OEIC - Global Select Equity Fund C Acc,matched,1.0,
T. Rowe Price Funds SICAV Global Value Equity,T. Rowe Price International Limited,Global,LU0859255472,T. Rowe Price Funds SICAV - Global Value Equity Fund I,matched,1.0,
T. Rowe Price Funds OEIC - Global Select Equity Fund,T. Rowe Price International Limited,Global,GB00BLFG6V23,T. Rowe Price Funds OEIC - Global Select Equity Fund C Acc,matched,1.0,
T. Rowe Price Funds OEIC - Global Impact Equity Fund,T. Rowe Price International Limited,Global,GB00BMHRSM51,T. Rowe Price Funds OEIC - Global Impact Equity Fund C Acc,matched,1.0,
T. Rowe Price Funds SICAV - Global Structured Research Equity Fund,T. Rowe Price International Limited,Global,LU2718023158,T. Rowe Price Funds SICAV - US Structured Research Equity Fund C (GBP),matched,0.9362,
Thesis TM Natixis Harris Associates Global Concentrated Equity,THESIS Unit Trust Management Limited,Global,GB00BN404X70,TM Natixis NGAM Investment Funds U.K. ICVC - Harris Associates Global ConcentratedEquityFundI/A(GBP),unresolved,0.7031,
TM Castlefield Thoughtful World Equity fund,THESIS Unit Trust Management Limited,Global,GB00BF4VR355,TM Castlefield Thoughtful World Equity Fund G Income,matched,0.9846,
TM Brickwood Global Value Fund,THESIS Unit Trust Management Limited,Global,GB00BTKVZN38,TM Brickwood Global Value Fund Class I GBP Accumulation,matched,0.9769,
TM Navera Global Equity Strategy,Thesis Unit Trust Management Limited on behalf of Meridiem Investment Management Limited,Global,GB00BNV0F828,TM Navera Global Equity Strategy A GBP Accumulation,matched,0.9818,
TrinityBridge Select Global Equity Fund X Accumulation,TrinityBridge,Global,IE0009Q49C53,Pinnacle ICAV - Life Cycle Global Equity Select Fund - UCITS X Share Class GBP Accumulation,unresolved,0.6301,
Trojan Global Equity Fund,Troy Asset Management,Global,IE000JTV8BO2,Trojan Funds plc - Trojan Global Equity Fund Class I GBP Accumulation,matched,0.8898,
UBS Global Equity Climate Transition Fund,UBS Asset Management Funds Ltd,Global,GB00BNLXP147,UBS Global Equity Climate Transition Fund C Acc,matched,1.0,
VT Greystone Global Growth Fund,Valu-Trac Investment Management Limited,Global,GB00BNYKF890,VT Greystone Global Growth Fund A Acc,matched,0.9778,
VT Avastra Global Equity Fund,Valu-Trac Investment Management Limited,Global,GB00BMWJ2247,VT Avastra Global Equity Fund Acc USD,matched,1.0,
VT Redlands Equity Portfolio,Valu-Trac Investment Management Limited,Global,GB00BDVK8722,VT Redlands ICVC - VT Redlands Equity Portfolio A GBP Acc,review,0.832,no decisive brand/region/style signal
VT Tyndall Global Select Fund,Valu-Trac Investment Management Limited,Global,GB00BGRCF168,VT Tyndall Global Select Fund Class A GBP Accumulation,matched,0.976,
VT Cantab Global Equity Fund,Valu-Trac Investment Management Limited,Global,GB00BK96BR29,VT Cantab Global Equity Fund Z GBP Accumulation,matched,0.975,
VT Vanneck Global Growth Fund,Valu-Trac Investment Management Limited,Global,GB00BLCD7G82,VT Vanneck Global Growth Fund F GBP Acc,matched,0.976,
