ia_fund_name,ia_management_company,ia_sector,isin,resolved_name,status,confidence,triage_reason
abrdn Asia Pacific Equity Fund,abrdn Fund Managers Limited,Asia Pacific Excluding Japan,GB00B0XWNG99,abrdn Asia Pacific Equity Fund I Acc,matched,1.0,
abrdn (Lothian) Pacific Basin Trust,abrdn Fund Managers Limited,Asia Pacific Excluding Japan,GB0008396797,abrdn (Lothian) Pacific Basin Trust A,matched,1.0,
abrdn Asia Pacific Equity Enhanced Index Fund,abrdn Fund Managers Limited,Asia Pacific Excluding Japan,GB00BGHW1Q36,abrdn Asia Pacific Equity Enhanced Index Fund A Acc,matched,1.0,
abrdn Evolve Asia Pacific ex-Japan Equity Index Fund,abrdn Fund Managers Limited,Asia Pacific Excluding Japan,GB00BL567W03,abrdn Evolve Asia Pacific ex-Japan Equity Index Fund B GBP Acc,matched,1.0,
Asia Pacific Sustainable Equity Fund,abrdn Investments Luxembourg S.A.,Asia Pacific Excluding Japan,LU0498180339,abrdn SICAV I - Asia Pacific Sustainable Equity Fund A Acc EUR,matched,0.9767,
Asian Smaller Companies Fund,abrdn Investments Luxembourg S.A.,Asia Pacific Excluding Japan,LU0390136579,Templeton Asian Smaller Companies Fund I(acc)EUR,review,0.8525,no decisive brand/region/style signal
AB FCP I - Asia Ex-Japan Equity Portfolio,AllianceBernstein (Luxembourg) S.à r.l.,Asia Pacific Excluding Japan,LU0469268469,AB FCP I - Asia Ex-Japan Equity Portfolio A Acc,matched,0.98,
Allianz Total Return Asian Equity Fund - A (ACC),Allianz Global Investors,Asia Pacific Excluding Japan,LU0348814566,Allianz Global Investors Fund - Allianz Total Return Asian Equity A EUR,matched,0.8858,
Allianz High Dividend Asia Pacific Equity,Allianz Global Investors GmbH,Asia Pacific Excluding Japan,LU1211504847,Allianz Global Investors Fund - Allianz High Dividend Asia Pacific Equity I EUR,matched,0.9114,
Allianz Little Dragons,Allianz Global Investors GmbH,Asia Pacific Excluding Japan,LU0348766576,Allianz Global Investors Fund - Allianz Little Dragons A USD,matched,0.8318,all distinctive IA tokens present and brand agrees
Allianz Total Return Asian Equity Fund - A (ACC),Allianz Global Investors,Asia Pacific Excluding Japan,LU0348814566,Allianz Global Investors Fund - Allianz Total Return Asian Equity A EUR,matched,0.8858,
Alquity Asia Fund,Alquity Investment Management Limited,Asia Pacific Excluding Japan,LU1049767517,Alquity SICAV - Alquity Asia Fund GBP I Class,matched,0.8835,
Amova Asia ex Japan Fund,Amova Asset Management,Asia Pacific Excluding Japan,LU1198260710,Amova Asia Ex-Japan Fund D GBP Acc,matched,1.0,
Baillie Gifford Pacific Fund,Baillie Gifford & Co Limited,Asia Pacific Excluding Japan,GB0006063126,Baillie Gifford Pacific A Acc,matched,1.0,
GlobalAccess Pacific Rim (ex-Japan) Fund,Barclays Multi Manager Fund PLC,Asia Pacific Excluding Japan,IE00B29M3M38,GlobalAccess Asia Pacific (ex-Japan) Fund Z Acc USD,review,0.8243,no decisive brand/region/style signal
Baring Eastern Trust,Baring Fund Managers Limited,Asia Pacific Excluding Japan,,,unresolved,,
Baring ASEAN Frontiers Fund - Class A GBP,Baring Fund Managers Limited,Asia Pacific Excluding Japan,IE00B3BC5T90,Barings International Umbrella Fund - Barings ASEAN Frontiers Fund Class A GBP Inc,unresolved,0.6651,
BGF Asian Dragon,BlackRock Investment Management (UK) Limited,Asia Pacific Excluding Japan,LU0147401474,BlackRock Global Funds - Asian Dragon Fund C2,unresolved,0.7017,
Blackrock Asia Fund,BlackRock Investment Management (UK) Limited,Asia Pacific Excluding Japan,GB00BRTCT196,BlackRock Asia Fund Class X Acc GBP,matched,1.0,
BNY Mellon Oriental Fund,BNY Mellon Fund Managers Limited,Asia Pacific Excluding Japan,US05580W8331,BNY Mellon Core Plus Fund Class Y,review,0.7657,no decisive brand/region/style signal
BNY Mellon Asian Income Fund,BNY Mellon Fund Managers Limited,Asia Pacific Excluding Japan,GB00BMY45958,BNY Mellon Asian Income Fund U Accumulation,matched,1.0,
RBC Funds (Lux) - Asia ex-Japan Equity Fund,Candriam,Asia Pacific Excluding Japan,LU2012944521,RBC Funds (Lux) - Asia ex-Japan Equity Fund Class O GBP Acc,matched,0.976,
Capital Group Asian Horizon Fund (LUX),Capital Group LUX,Asia Pacific Excluding Japan,LU2260168997,Capital Group Asian Horizon Fund (LUX) Z,matched,1.0,
Comgest Growth Asia Pac ex Japan,Comgest Asset Management International Limited,Asia Pacific Excluding Japan,IE00BRTM4L49,Comgest Growth Asia Pac ex Japan EUR I Acc,matched,1.0,
CT Asia Fund,CT Investment Services Ltd,Asia Pacific Excluding Japan,GB00B83BWC19,CT Asia Pacific Fund Z Accumulation GBP,review,0.81,no decisive brand/region/style signal
New Capital Asia Future Leaders Fund,EFG Asset Management (UK) Limited,Asia Pacific Excluding Japan,IE00BMWJ1Q14,New Capital Asia Future Leaders Fund Class USD I Income,matched,0.9812,
Fidelity Asia Fund,Fidelity International,Asia Pacific Excluding Japan,GB0003879185,Fidelity Asia Fund A Acc,matched,1.0,
Fidelity Institutional South East Asia Fund,Fidelity International,Asia Pacific Excluding Japan,GB0003371407,Fidelity Investment Funds IX - Fidelity South East Asia Fund W-ACC,review,0.8076,no decisive brand/region/style signal
Fidelity Asian Special Situations Fund,Fidelity International,Asia Pacific Excluding Japan,LU1357938338,Fidelity Funds - Asian Special Situations Fund I-Acc-EUR,matched,1.0,
Fidelity Funds - South East Asia Fund,Fidelity International,Asia Pacific Excluding Japan,GB0003371407,Fidelity Investment Funds IX - Fidelity South East Asia Fund W-ACC,matched,0.8545,all distinctive IA tokens present and brand agrees
Fidelity Funds - Emerging Asia Fund,Fidelity International,Asia Pacific Excluding Japan,LU0742535718,Fidelity Funds - Emerging Asia Fund I-Acc-USD,matched,1.0,
Fidelity Funds - Emerging Asia Fund,Fidelity International,Asia Pacific Excluding Japan,LU0742535718,Fidelity Funds - Emerging Asia Fund I-Acc-USD,matched,1.0,
Fidelity Asian Dividend Fund,Fidelity International,Asia Pacific Excluding Japan,GB00B8W5LX86,Fidelity Asian Dividend Fund W Acc,matched,1.0,
Fidelity Asia Pacific Opportunities Fund,Fidelity International,Asia Pacific Excluding Japan,LU2178498452,Fidelity Funds - Asia Pacific Opportunities Fund I-Acc-GBP,matched,1.0,
FF - Asian Smaller Companies,Fidelity International,Asia Pacific Excluding Japan,LU2763440729,Fidelity Funds - Asian Smaller Companies Fund I-Acc-GBP,matched,0.86,
Stewart Investors Asia Pacific Leaders Fund,First Sentier Investors,Asia Pacific Excluding Japan,GB0033874214,Stewart Investors Asia Pacific Leaders Fund Class A (Accumulation) GBP,matched,0.9846,
Stewart Investors Asia Pacific All Cap Fund,First Sentier Investors,Asia Pacific Excluding Japan,IE000UZ79C24,Stewart Investors Asia Pacific All Cap Fund Class I (Accumulation) SGD,matched,0.9846,
FSSA Asia Focus Fund,First Sentier Investors,Asia Pacific Excluding Japan,GB00BWNGXJ86,FSSA Asia Focus Fund Class B (Accumulation) GBP,matched,0.9625,
Templeton Asian Growth Fund,Franklin Templeton International Services S.à r.l,Asia Pacific Excluding Japan,LU0768360355,Templeton Asian Growth Fund W(acc)GBP,matched,0.9388,
GAM Multistock - Asia Focus Equity,GAM (Luxembourg) S.A.,Asia Pacific Excluding Japan,LU2257365705,GAM Multistock - Asia Focus Equity EUR C,matched,1.0,
Goldman Sachs Asia Equity Portfolio,Goldman Sachs Asset Management Fund Services Limited,Asia Pacific Excluding Japan,LU1390215256,Goldman Sachs Asia Equity Portfolio I Inc GBP,matched,1.0,
Guinness Asian Equity Income Fund,Guinness Asset Management Ltd,Asia Pacific Excluding Japan,IE000658NZ19,Guinness Asian Equity Income Fund Class Z GBP Accumulation,matched,1.0,
Guinness Best of Asia Fund,Guinness Asset Management Ltd,Asia Pacific Excluding Japan,IE00BMYPN275,Guinness Best of Asia Fund I USD Accumulation,matched,1.0,
Federated Hermes Asia Ex-Japan Equity Fund,Hermes Fund Managers Ireland Limited,Asia Pacific Excluding Japan,IE00BLPJRT69,Federated Hermes Asia ex-Japan Equity Fund Class I USD Accumulating,matched,0.9589,
Invesco Asian Fund (UK),Invesco,Asia Pacific Excluding Japan,GB00B8N44Q86,Invesco Asian Fund (UK) Z (Acc),matched,1.0,
Invesco Asia Consumer Demand Fund,Invesco,Asia Pacific Excluding Japan,LU1981111476,Invesco Funds - Invesco Asia Consumer Demand Fund Z Accumulation GBP,matched,0.9691,
IFSL Marlborough Far East Growth Fund,Investment Fund Services Limited,Asia Pacific Excluding Japan,GB00B0NVCN62,IFSL Marlborough Far East Growth Fund A Acc,matched,0.9818,
JOHCM Asia ex Japan Small & Mid Cap Fund,J O Hambro Capital Management Limited,Asia Pacific Excluding Japan,,,unresolved,,
JOHCM Asia ex Japan Fund,J O Hambro Capital Management Limited,Asia Pacific Excluding Japan,IE00BLPJRT69,Federated Hermes Asia ex-Japan Equity Fund Class I USD Accumulating,unresolved,0.6304,
JPM Asia Growth Fund,J.P. Morgan Asset Management,Asia Pacific Excluding Japan,GB00B1YWMF73,JPM Asia Growth Fund B - Net Accumulation,matched,0.96,
JPM Asia Pacific Equity Fund,J.P. Morgan Asset Management,Asia Pacific Excluding Japan,GB00BMZ1GR00,JPM Asia Pacific Equity Fund X Accumulation,matched,1.0,
Janus Henderson Asia Pacific Capital Growth Fund,Janus Henderson Investors,Asia Pacific Excluding Japan,,,unresolved,,
Janus Henderson Asian Dividend Income Unit Trust,Janus Henderson Investors,Asia Pacific Excluding Japan,GB00B62SGY92,Janus Henderson Asian Dividend Income Unit Trust I Acc,matched,1.0,
Janus Henderson Institutional Asia Pacific Ex  Japan Index Opportunities Fund,Janus Henderson Investors,Asia Pacific Excluding Japan,GB00B00K2P80,Janus Henderson Institutional Asia Pacific ex-Japan Index Opportunities Fund I Acc,matched,1.0,
Jupiter Merian Asia Pacific Fund,Jupiter Unit Trust Managers Limited,Asia Pacific Excluding Japan,GB00B1XG9607,Jupiter Merian Asia Pacific Fund I GBP Acc,matched,1.0,
Jupiter Asia Pacific Income Fund (IRL),Jupiter Unit Trust Managers Limited,Asia Pacific Excluding Japan,IE00025MPZG4,Jupiter Asia Pacific Income Fund (IRL) L HKD Acc,matched,1.0,
Jupiter Asian Income Fund,Jupiter Unit Trust Managers Limited,Asia Pacific Excluding Japan,GB00BZ2YND85,Jupiter Asian Income Fund I GBP Acc,matched,1.0,
Legal & General Asia Pacific Equity Income Fund,Legal & General Investment Management Limited,Asia Pacific Excluding Japan,GB00B409KQ03,Legal & General Asia Pacific Equity Income Fund I Class Accumulation,matched,1.0,
LO Funds - Asia High Conviction,Lombard Odier Funds (Europe) S.A.,Asia Pacific Excluding Japan,LU1581426274,LO Funds - Asia High Conviction (USD) IA,matched,0.9633,
M&G Asian Fund,M&G Securities Limited,Asia Pacific Excluding Japan,GB00B6SQYF47,M&G Asian Fund Sterling I Acc,matched,0.8324,all distinctive IA tokens present and brand agrees
Man Asia (Ex Japan) Equity Fund,Man Fund Management UK Limited,Asia Pacific Excluding Japan,IE00BK810488,Man Funds plc - Man Asia (ex Japan) Equity I C GBP,matched,0.9743,
MGTS AFH DA Asia ex Japan Equity Fund,Margetts Fund Management Ltd,Asia Pacific Excluding Japan,GB00BYXG9N83,MGTS AFH DA Fund - MGTS AFH DA Asia ex Japan Equity Fund I GBP Accumulation,matched,0.8923,
Matthews Asia Pacific Tiger Fund,Matthews International Capital Management LLC,Asia Pacific Excluding Japan,LU0594555756,Matthews Asia Funds - Pacific Tiger Fund I GBP Acc,matched,1.0,
Matthews Asia Small Companies Fund,Matthews International Capital Management LLC,Asia Pacific Excluding Japan,US5771252062,Matthews Emerging Markets Small Companies Fund Investor Class Shares,review,0.7367,no decisive brand/region/style signal
Matthews Asia Fund Asia Ex Japan Dividend Fund,Matthews International Capital Management LLC,Asia Pacific Excluding Japan,LU1311311515,Matthews Asia Funds - Asia Ex Japan Total Return Equity Fund I GBP Acc,review,0.8035,no decisive brand/region/style signal
MFS Meridian Asia Ex-Japan Fund,MFS International (UK) Ltd,Asia Pacific Excluding Japan,LU0219434288,MFS Meridian Funds - Asia Ex-Japan Fund I1 (GBP),matched,1.0,
Ninety One GSF Asian Equity Fund,Ninety One Fund Managers UK Limited,Asia Pacific Excluding Japan,LU0386382971,Ninety One Global Strategy Fund - Asian Equity Fund I Acc EUR,matched,0.8388,all distinctive IA tokens present and brand agrees
Nomura Funds Ireland - Asia Ex Japan High Conviction Fund,Nomura Asset Management U.K. Ltd,Asia Pacific Excluding Japan,IE00BBT37Z01,Nomura Funds Ireland plc - Asia ex Japan High Conviction Fund Class I GBP Acc,matched,1.0,
Pictet Asian Equities Ex Japan,Pictet Asset Management Ltd,Asia Pacific Excluding Japan,LU1694774933,Pictet-Asian Equities Ex Japan I GBP,matched,1.0,
Pictet Pacific Ex Japan Index,Pictet Asset Management Ltd,Asia Pacific Excluding Japan,LU0859480674,Pictet-Pacific Ex Japan Index I GBP,matched,1.0,
PineBridge Asia ex Japan Small Cap Equity Fund,PineBridge Investments Ireland Ltd,Asia Pacific Excluding Japan,IE00BKT60316,PineBridge Asia ex Japan Small Cap Equity Fund Class R2,matched,1.0,
PineBridge Asia ex Japan Equity Fund,PineBridge Investments Ireland Ltd,Asia Pacific Excluding Japan,IE0008NK9IR1,PineBridge Asia ex Japan Equity Fund Class Z USD Acc,matched,1.0,
Polar Capital Funds Plc - Asian Stars Fund,Polar Capital Funds Plc,Asia Pacific Excluding Japan,IE00BG43QF39,Polar Capital Funds PLC - Asian Stars Fund I Acc,matched,1.0,
Quilter Investors Asia Pacific (ex Japan) Equity Fund,Quilter Investors Limited,Asia Pacific Excluding Japan,GB00B8N8LL45,Quilter Investors Asia Pacific (ex Japan) Equity Fund A (GBP) Accumulation,matched,1.0,
Quilter Investors Asia Pacific (ex Japan) Large-Cap Equity Fund,Quilter Investors Limited,Asia Pacific Excluding Japan,GB00B98XF649,Quilter Investors Asia Pacific (ex Japan) Large-Cap Equity Fund A (GBP) Accumulation,matched,1.0,
Quilter Investors Asia Pacific Fund,Quilter Investors Limited,Asia Pacific Excluding Japan,GB00BG371R30,Quilter Investors Asia Pacific Fund U2 (GBP) Accumulation,matched,1.0,
Robeco Asian Stars Equities,Robeco Capital Growth Funds SICAV,Asia Pacific Excluding Japan,LU1113137688,Robeco Asian Stars Equities I $,matched,1.0,
Royal London Asia Pacific ex Japan Tracker Fund,Royal London Asset Management Limited,Asia Pacific Excluding Japan,GB00B68SHD90,Royal London Asia Pacific ex Japan Equity Tilt Fund Z Accumulation,matched,0.8829,
Schroder Asian Income Fund,Schroder Unit Trusts Limited,Asia Pacific Excluding Japan,GB00B5BJ7M17,Schroder Asian Income Fund Z Accumulation GBP,matched,1.0,
Schroder Institutional Pacific Fund,Schroder Unit Trusts Limited,Asia Pacific Excluding Japan,GB0007646747,Schroder Institutional Pacific I Acc,matched,1.0,
Schroder Asian Alpha Plus Fund,Schroder Unit Trusts Limited,Asia Pacific Excluding Japan,GB00B5BG4980,Schroder Asian Alpha Plus Fund Z Accumulation GBP,matched,1.0,
Schroder Asian Income Maximiser,Schroder Unit Trusts Limited,Asia Pacific Excluding Japan,GB00B581S493,Schroder Asian Income Maximiser Z Accumulation GBP,matched,1.0,
Schroder Asian Discovery Fund,Schroder Unit Trusts Limited,Asia Pacific Excluding Japan,GB00B5ZS9V71,Schroder Asian Discovery Fund Z Accumulation GBP,matched,1.0,
T. Rowe Price Funds SICAV Asian ex-Japan Equity Fund,T. Rowe Price International Limited,Asia Pacific Excluding Japan,LU1382643945,T. Rowe Price Funds SICAV - Asian ex-Japan Equity Fund I (EUR),matched,1.0,
T. Rowe Price Funds SICAV Asian Opportunities Equity,T. Rowe Price International Limited,Asia Pacific Excluding Japan,LU1382643945,T. Rowe Price Funds SICAV - Asian ex-Japan Equity Fund I (EUR),review,0.8413,no decisive brand/region/style signal
T. Rowe Price Funds SICAV Asian Opportunities Equity,T. Rowe Price International Limited,Asia Pacific Excluding Japan,LU1382643945,T. Rowe Price Funds SICAV - Asian ex-Japan Equity Fund I (EUR),review,0.8413,no decisive brand/region/style signal
UBS Asian Smaller Companies,UBS Asset Management Funds Ltd,Asia Pacific Excluding Japan,LU1166156734,Fidelity Funds - Asian Smaller Companies Fund A-Acc-SGD,review,0.7721,no decisive brand/region/style signal
VT Halo Asia Growth Fund,Valu-Trac Investment Management Limited,Asia Pacific Excluding Japan,,,unresolved,,
Veritas Asian Fund,Veritas Asset Management (UK) Ltd,Asia Pacific Excluding Japan,IE00B02T6J57,Veritas Asian Fund A GBP Inc,matched,1.0,
Vontobel Fund -  mtx Asian Leaders (ex Japan),Vontobel Asset Management SA,Asia Pacific Excluding Japan,LU2250524761,Vontobel Fund - mtx Asian Leaders (Ex-Japan) I EUR,matched,1.0,
Waverton Asia Pacific Fund,Waverton Investment Management Limited,Asia Pacific Excluding Japan,IE00BFXR6X72,Waverton Asia Pacific I USD,matched,1.0,
WS Keyridge Asia Pacific Fund,Waystone Management (UK) Limited,Asia Pacific Excluding Japan,GB00B719QW87,WS Keyridge Asia Pacific Fund C Accumulation,matched,0.976,
WS Guinness Asian Equity Income Fund,Waystone Management (UK) Limited,Asia Pacific Excluding Japan,GB00BMFKG667,WS Guinness Asian Equity Income Fund Y GBP Accumulation,matched,0.976,
Wellington Asian Opportunities Fund,Wellington Management,Asia Pacific Excluding Japan,LU2098791317,Schroder International Selection Fund Asian Opportunities X Accumulation GBP,unresolved,0.6238,
Wellington Asia Quality Income Fund,Wellington Management,Asia Pacific Excluding Japan,LU3228523711,Wellington Asia Quality Income Fund SGD A AccU,matched,0.9808,
Allianz Oriental Income,Allianz Global Investors GmbH,Asia Pacific Including Japan,LU0348785790,Allianz Global Investors Fund - Allianz Oriental Income I USD,matched,0.7854,all distinctive IA tokens present and brand agrees
Baillie Gifford Developed Asia Pacific Fund,Baillie Gifford & Co Limited,Asia Pacific Including Japan,GB0030491418,Baillie Gifford Developed Asia Pacific Fund A Accumulation,matched,1.0,
Stewart Investors Asia Pacific and Japan Sustainability Fund,First Sentier Investors,Asia Pacific Including Japan,GB0030184088,Stewart Investors Asia Pacific and Japan All Cap Fund Class B (Accumulation) GBP,review,0.8457,no decisive brand/region/style signal
Impax Asian Environmental Markets Ireland Fund,Impax Asset Management Ireland Limited,Asia Pacific Including Japan,IE00BYQ91839,Impax Asian Environmental Markets (Ireland) GBP X Accumulation,matched,1.0,
Invesco Pacific Fund (UK),Invesco,Asia Pacific Including Japan,GB00B8N44X53,Invesco Pacific Fund (UK) Z (Acc),matched,1.0,
JF Pacific Equity Fund,J.P. Morgan Asset Management,Asia Pacific Including Japan,LU0441856522,JPMorgan Funds - Asia Pacific Equity Fund I (acc) EUR,review,0.7352,no decisive brand/region/style signal
All China Sustainable Equity Fund,abrdn Investments Luxembourg S.A.,China/Greater China,LU2639013395,abrdn SICAV I - All China Sustainable Equity Fund I Acc GBP,matched,0.9691,
AB SICAV I - China A Shares Equity Portfolio,AllianceBernstein (Luxembourg) S.à r.l.,China/Greater China,LU1979443402,AB SICAV I - China A Shares Equity Portfolio I GBP Acc,matched,0.9778,
Allianz China A-Shares  Equity Fund,Allianz Global Investors,China/Greater China,GB00BMG9ZZ41,Allianz China A-Shares Equity Fund W,matched,1.0,
Allianz China A-Shares,Allianz Global Investors GmbH,China/Greater China,LU2724466953,Allianz China A Shares AT2 EUR,matched,1.0,
Allianz All China Equity,Allianz Global Investors GmbH,China/Greater China,LU1946895353,Allianz Global Investors Fund - Allianz All China Equity A (EUR),matched,0.844,all distinctive IA tokens present and brand agrees
Allianz Hong Kong Equity,Allianz Global Investors GmbH,China/Greater China,LU0348735423,Allianz Global Investors Fund - Allianz Hong Kong Equity A USD,matched,0.844,all distinctive IA tokens present and brand agrees
Baillie Gifford China Fund,Baillie Gifford & Co Limited,China/Greater China,GB00B39RML74,Baillie Gifford China Fund A Accumulation,matched,1.0,
JSS Equity - All China,Bank J. Safra Sarasin Ltd,China/Greater China,LU1900874097,JSS Equity - All China I USD Acc,matched,0.9714,
Baring Hong Kong China Fund Class A GBP Inc,Baring Fund Managers Limited,China/Greater China,IE00B3YQ0H18,Barings International Umbrella Fund - Barings Hong Kong China Fund Class A GBP Inc,review,0.74,no decisive brand/region/style signal
RBC Funds (Lux) - China Equity Fund,Candriam,China/Greater China,LU2613210843,RBC Funds (Lux) - China Equity Fund B1 (acc) USD,matched,0.9486,
Comgest Growth China,Comgest Asset Management International Limited,China/Greater China,IE00BDB4ZZ12,Comgest Growth China EUR I Acc,matched,1.0,
Fidelity Funds China Focus Fund,Fidelity International,China/Greater China,LU2152795964,Fidelity Funds - China Focus Fund I-Acc-EUR,matched,1.0,
FF - Greater China,Fidelity International,China/Greater China,LU0248053877,JPMorgan Funds - Greater China Fund I (acc) USD,unresolved,0.6867,
Fidelity Funds China Opportunities,Fidelity International,China/Greater China,LU2854867772,Fidelity Funds 2 - China Onshore Bond Fund I RMB Acc,unresolved,0.7076,
Fidelity China Consumer Fund,Fidelity International,China/Greater China,LU2367617037,Fidelity Funds - China Consumer Fund I-Acc-GBP,matched,1.0,
FSSA Greater China Growth Fund,First Sentier Investors,China/Greater China,IE0031814852,FSSA Greater China Growth Fund Class I (Accumulation) USD,matched,0.9769,
FSSA All China Fund,First Sentier Investors,China/Greater China,GB00BZCCYN91,FSSA All China Fund Class B (Accumulation) GBP,matched,0.96,
FI Institutional China A-Shares Equity Fund,Fisher Investments Institutional Funds plc,China/Greater China,IE00BK8YBR71,FI Institutional China A-Shares Equity Fund F Class Shares,matched,0.9365,
Templeton China Fund,Franklin Templeton International Services S.à r.l,China/Greater China,LU0768359696,Templeton China Fund W(acc)GBP,matched,0.9143,
GAM Star China Equity,GAM,China/Greater China,IE00B1W3WP28,GAM Star Fund plc - GAM Star China Equity Ordinary CHF Accumulation,matched,0.88,
GAM Multistock - China Evolution Equity,GAM (Luxembourg) S.A.,China/Greater China,LU1574072879,GAM Multistock - China Evolution Equity GBP R,matched,1.0,
Goldman Sachs All China Equity Portfolio,Goldman Sachs Asset Management Fund Services Limited,China/Greater China,LU0404928870,Goldman Sachs All China Equity Portfolio I Acc USD,matched,1.0,
Goldman Sachs China A-Share Equity Portfolio,Goldman Sachs Asset Management Fund Services Limited,China/Greater China,IE00BMG8TW68,Goldman Sachs China A-Share Equity Portfolio I Class Shares (Acc.) (GBP),matched,0.9899,
Guinness Best of China Fund,Guinness Asset Management Ltd,China/Greater China,IE00BMYPN275,Guinness Best of Asia Fund I USD Accumulation,matched,0.8667,
Guinness China A Share Fund,Guinness Asset Management Ltd,China/Greater China,IE000IQ9D569,Guinness China A Share Fund I USD Accumulation,matched,1.0,
Federated Hermes China Equity Fund,Hermes Fund Managers Ireland Limited,China/Greater China,IE00BKKJF780,Federated Hermes China Equity Fund Class X GBP Accumulating,matched,0.9367,
HSBC GIF Chinese Equity,HSBC Asset Management (Fund Services UK) Limited,China/Greater China,LU0544978140,HSBC Global Investment Funds - Chinese Equity ACGBP,matched,0.76,all distinctive IA tokens present and brand agrees
Invesco China Equity Fund (UK,Invesco,China/Greater China,GB00B8N44V30,Invesco China Equity Fund (UK) Z (Acc),matched,0.92,
Invesco PRC Equity Fund,Invesco,China/Greater China,US00142J1236,Invesco Equity and Income Fund Class R6,review,0.7574,no decisive brand/region/style signal
JF Greater China Fund,J.P. Morgan Asset Management,China/Greater China,TW000T2260Y5,Fuh Hwa Greater China Fund,review,0.7532,no decisive brand/region/style signal
JPMorgan Fund ICVC - JPM China Fund,J.P. Morgan Asset Management,China/Greater China,GB00BJXD1G13,JPMorgan Fund III ICVC - JPM Diversified Growth Fund X2 Accumulation,unresolved,0.6267,
Janus Henderson China Opportunities Fund,Janus Henderson Investors,China/Greater China,GB00B5T7PM36,Janus Henderson China Opportunities Fund I Acc,matched,1.0,
Janus Henderson Horizon China Opportunities Fund,Janus Henderson Investors,China/Greater China,LU0327786827,Janus Henderson Horizon China Opportunities Fund A1 USD,matched,1.0,
Jupiter China Fund,Jupiter Unit Trust Managers Limited,China/Greater China,GB00B86PDR24,Jupiter China Fund I Inc,matched,1.0,
Jupiter China Equity Fund,Jupiter Unit Trust Managers Limited,China/Greater China,IE00B42HM661,Jupiter China Equity Fund I USD Acc,matched,1.0,
Liontrust China Fund,Liontrust Investment Partners LLP,China/Greater China,GB00B04H0Y06,Liontrust China Fund A Acc GBP,matched,1.0,
M&G China Fund,M&G Securities Limited,China/Greater China,GB00BS3F1B51,M&G China Fund Sterling I Acc,matched,0.8324,all distinctive IA tokens present and brand agrees
Matthews Asia China Fund,Matthews International Capital Management LLC,China/Greater China,LU2353186104,Matthews Asia Funds - China Innovators Fund A EUR Acc,matched,0.9071,
Matthews Asia China Small Companies Fund,Matthews International Capital Management LLC,China/Greater China,,,unresolved,,
Ninety One GSF China A Shares,Ninety One Fund Managers UK Limited,China/Greater China,LU2200695240,Ninety One Global Strategy Fund - China A Shares I USD Acc,matched,0.86,
Ninety One GSF All China Equity,Ninety One Fund Managers UK Limited,China/Greater China,LU1303224338,Ninety One Global Strategy Fund - All China Equity Fund I Inc USD,matched,0.867,
Nomura Funds Ireland - China Fund,Nomura Asset Management U.K. Ltd,China/Greater China,IE00B3W35Q81,Nomura Funds Ireland plc - Japan Strategic Value Fund Class I GBP,unresolved,0.6784,
Pictet-Greater China,Pictet Asset Management Ltd,China/Greater China,,,unresolved,,
Quilter Investors China Equity Fund,Quilter Investors Limited,China/Greater China,GB00B991Z457,Quilter Investors China Equity Fund A (GBP) Accumulation,matched,1.0,
Redwheel China Equity Fund,Redwheel,China/Greater China,LU2064457265,Redwheel China Equity Fund I GBP,matched,1.0,
Schroder ISF Greater China,Schroder Unit Trusts Limited,China/Greater China,LU2526491233,Schroder International Selection Fund Greater China A Accumulation SGD,matched,0.7654,all distinctive IA tokens present and brand agrees
T. Rowe Price Funds OEIC - China Evolution Equity Fund,T. Rowe Price International Limited,China/Greater China,LU2187417469,T. Rowe Price Funds SICAV - China Evolution Equity Fund I,matched,1.0,
T. Rowe China Evolution Equity Fund,T. Rowe Price International Limited,China/Greater China,US87281D6031,T. Rowe Price China Evolution Equity Fund I Class,matched,0.9873,
Wellington All-China Focus Equity Fund,Wellington Management,China/Greater China,IE00BK5STR80,Wellington All-China Focus Equity FundGBP N AccU,matched,0.9489,
abrdn SICAV I - Future Minerals Fund,abrdn Investments Luxembourg S.A.,Commodities and Natural Resources,LU2811882161,abrdn SICAV I - Future Minerals Fund X Acc GBP,matched,1.0,
SVS Baker Steel Electrum Fund,Baker Steel,Commodities and Natural Resources,GB00BPJGV222,SVS Baker Steel Electrum Fund I Acc,matched,1.0,
Baring Global Resources Fund,Baring Fund Managers Limited,Commodities and Natural Resources,LU0345781172,Ninety One Global Strategy Fund - Global Natural Resources Fund I Acc USD,unresolved,0.5667,
Baring Global Agriculture Fund,Baring Fund Managers Limited,Commodities and Natural Resources,GB00B3B9VD63,Barings Global Agriculture Fund - Class I GBP Acc,matched,0.8927,
BlackRock Global Funds World Energy Fund,BlackRock Investment Management (UK) Limited,Commodities and Natural Resources,LU0204068364,BlackRock Global Funds - World Energy Fund A4,matched,1.0,
BlackRock Global Funds World Mining,BlackRock Investment Management (UK) Limited,Commodities and Natural Resources,LU0204068877,BlackRock Global Funds - World Mining Fund A4,matched,1.0,
BlackRock Natural Resources Growth & Income Fund,BlackRock Investment Management (UK) Limited,Commodities and Natural Resources,,,unresolved,,
"GMO Resources UCITS Fund, a sub-fund of GMO Investments ICAV","GMO (Grantham, Mayo, Van Otterloo & Co. LLC)",Commodities and Natural Resources,,,unresolved,,
